대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
한국항공대학교,기계/자동차/조선공학,3.9 / 4.5,840,L6,없음,0개,0회,1회,0회,3회,현대중공업㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,4.09 / 4.5,835,L6,없음,0개,0회,0회,3회,0회,삼성전자㈜,SW(소프트웨어)
한국항공대학교,기계/자동차/조선공학,3.41 / 4.5,770,L6,없음,0개,1회,0회,0회,1회,현대파워텍㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.22 / 4.5,835,L6,없음,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.8 / 4.5,없음,L6,IM,2개,1회,1회,0회,1회,현대제철㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.9 / 4.5,없음,L6,IM,2개,1회,1회,0회,0회,LG전자㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.75 / 4.5,815,L6,없음,0개,0회,0회,0회,0회,금호타이어㈜,기계
명지대학교(인문),기계/자동차/조선공학,3.57 / 4.5,705,없음,없음,0개,0회,1회,2회,2회,현대자동차㈜,자재구매
성균관대학교(자연과학),기계/자동차/조선공학,3.95 / 4.5,885,없음,없음,2개,0회,0회,2회,0회,현대자동차㈜,연구·실험·기술
울산대학교,기계/자동차/조선공학,3.8 / 4.5,820,L6,없음,1개,0회,0회,0회,0회,현대중공업㈜,자동차·조선설계
충남대학교,기계/자동차/조선공학,3.86 / 4.5,885,L7,없음,0개,0회,0회,0회,0회,두산인프라코어㈜,연구·실험·기술
충남대학교,기계/자동차/조선공학,3.69 / 4.5,720,L5,없음,0개,0회,0회,0회,0회,현대모비스㈜,생산관리
한양대학교(서울),기계/자동차/조선공학,3.0 / 4.5,785,L6,없음,0개,0회,0회,0회,0회,LG이노텍㈜,연구·실험·기술
충남대학교,기계/자동차/조선공학,3.9 / 4.5,825,L5,없음,0개,0회,1회,1회,0회,LG이노텍㈜,생산관리
한국항공대학교,기계/자동차/조선공학,4.06 / 4.5,880,L6,없음,0개,0회,0회,1회,0회,LG이노텍㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.65 / 4.5,855,없음,IM,0개,0회,0회,0회,1회,현대위아,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.4 / 4.5,775,L6,없음,2개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.99 / 4.5,900,L7,없음,0개,0회,1회,1회,0회,현대자동차㈜,생산관리
영남대학교,기계/자동차/조선공학,4.28 / 4.5,760,L6,없음,4개,0회,0회,0회,1회,현대건설㈜,품질관리
부산대학교(밀양),기계/자동차/조선공학,3.79 / 4.5,775,L6,없음,0개,0회,0회,0회,0회,LG디스플레이㈜,기계설비
서울시립대학교,기계/자동차/조선공학,3.92 / 4.5,860,없음,IM,0개,0회,0회,0회,0회,삼성전자㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.83 / 4.5,없음,L6,없음,0개,0회,0회,0회,0회,LG이노텍㈜,생산관리
가천대학교 경원캠퍼스,기계/자동차/조선공학,3.58 / 4.5,없음,없음,IH,0개,1회,1회,4회,0회,현대성우오토모티브코리아㈜,품질보증
인하대학교,기계/자동차/조선공학,3.76 / 4.5,820,L6,없음,0개,0회,1회,0회,0회,LG전자㈜,기계·기구설계
