대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
성균관대학교(자연과학),기계/자동차/조선공학,3.16 / 4.5,820,없음,IM,2개,0회,0회,0회,0회,삼성전자㈜,제품개발
인하대학교,기계/자동차/조선공학,3.77 / 4.5,770,L5,없음,3개,2회,0회,0회,0회,삼성중공업㈜,자동차·조선설계
금오공과대학교,기계/자동차/조선공학,4.11 / 4.5,없음,없음,IL,0개,0회,0회,0회,0회,LG이노텍㈜,연구·실험·기술
인천대학교,기계/자동차/조선공학,3.84 / 4.5,895,L6,없음,2개,0회,0회,0회,0회,금호건설㈜,플랜트
전남대학교(광주),기계/자동차/조선공학,3.74 / 4.5,795,L6,IM,0개,0회,1회,0회,2회,현대산업개발 ㈜,플랜트
숭실대학교,기계/자동차/조선공학,3.7 / 4.5,835,L6,없음,2개,0회,0회,0회,0회,LG디스플레이㈜,생산관리
경북대학교,기계/자동차/조선공학,3.57 / 4.5,770,L6,없음,3개,0회,0회,1회,1회,삼성중공업㈜,연구·실험·기술
고려대학교(세종),기계/자동차/조선공학,3.67 / 4.5,755,없음,IL,0개,0회,0회,0회,0회,삼성엔지니어링㈜,건축설계
영남대학교,기계/자동차/조선공학,3.88 / 4.5,725,없음,IM,0개,0회,0회,2회,0회,에스엘,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.57 / 4.5,770,L6,없음,3개,0회,0회,1회,1회,두산인프라코어㈜,연구·실험·기술
한국항공대학교,기계/자동차/조선공학,3.04 / 4.5,765,L6,없음,0개,0회,0회,0회,0회,LG디스플레이㈜,생산관리
한양대학교(서울),기계/자동차/조선공학,3.36 / 4.5,없음,없음,IL,0개,0회,0회,0회,1회,LG디스플레이㈜,연구·실험·기술
한밭대학교,기계/자동차/조선공학,4.22 / 4.5,735,없음,IM,4개,2회,0회,1회,0회,현대자동차㈜,연구·실험·기술
숭실대학교,기계/자동차/조선공학,3.79 / 4.5,765,없음,IM,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
금오공과대학교,기계/자동차/조선공학,3.6 / 4.5,755,없음,IL,0개,0회,0회,0회,0회,한화시스템/시스템,기계
전북대학교,기계/자동차/조선공학,3.68 / 4.5,없음,없음,IL,2개,0회,0회,0회,1회,㈜GS리테일,영업관리
인하대학교,기계/자동차/조선공학,3.98 / 4.5,600,L5,없음,2개,1회,0회,0회,1회,현대파워텍㈜,연구·실험·기술
한국항공대학교,기계/자동차/조선공학,3.44 / 4.5,810,L6,없음,0개,0회,2회,0회,0회,현대건설㈜,플랜트
울산대학교,기계/자동차/조선공학,3.64 / 4.5,610,L5,없음,5개,0회,0회,0회,0회,두산중공업㈜,생산관리
금오공과대학교,기계/자동차/조선공학,3.88 / 4.5,865,없음,IL,0개,0회,0회,0회,0회,STX중공업㈜,기계
충북대학교,기계/자동차/조선공학,3.42 / 4.5,710,없음,없음,1개,0회,0회,1회,0회,㈜LG하우시스,생산관리
울산대학교,기계/자동차/조선공학,3.72 / 4.5,880,L6,IM,0개,0회,0회,0회,0회,삼성중공업㈜,자동차·조선설계
부경대학교,기계/자동차/조선공학,3.71 / 4.5,730,없음,IM,0개,2회,1회,3회,0회,㈜화승R&A,자재구매
부산대학교(밀양),기계/자동차/조선공학,4.0 / 4.5,845,없음,없음,0개,0회,0회,0회,1회,한국수력원자력㈜,기계
경상대학교,기계/자동차/조선공학,3.7 / 4.5,775,L6,없음,0개,0회,1회,1회,1회,에스피피조선㈜,QAA·통화품질
한국산업기술대학교,기계/자동차/조선공학,3.75 / 4.5,840,없음,IM,0개,0회,0회,1회,0회,STX중공업㈜,플랜트
창원대학교,기계/자동차/조선공학,3.8 / 4.5,910,L6,없음,3개,0회,0회,4회,1회,STX조선해양㈜,자동차·조선설계
인하대학교,기계/자동차/조선공학,3.45 / 4.5,730,L5,없음,0개,0회,0회,1회,0회,STX엔진㈜,생산관리
국민대학교,기계/자동차/조선공학,3.64 / 4.5,735,L5,IM,1개,0회,0회,1회,1회,STX엔진㈜,기계·기구설계
홍익대학교(서울),기계/자동차/조선공학,3.26 / 4.5,780,L7,NH,0개,0회,0회,0회,0회,GS건설,플랜트
한양대학교(서울),기계/자동차/조선공학,3.3 / 4.5,900,L6,IM,1개,0회,0회,0회,0회,한국GM㈜,자동차·조선설계
영남대학교,기계/자동차/조선공학,3.7 / 4.5,없음,없음,IL,0개,0회,0회,0회,1회,씨제이모닝웰(주),기계
울산대학교,기계/자동차/조선공학,4.27 / 4.5,765,없음,없음,0개,0회,0회,0회,0회,현대중공업㈜,생산관리
한성대학교,기계/자동차/조선공학,3.98 / 4.5,765,L6,없음,1개,0회,0회,0회,0회,현대자동차㈜,생산관리
숭실대학교,기계/자동차/조선공학,3.6 / 4.5,815,없음,없음,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,4.38 / 4.5,없음,없음,없음,2개,0회,0회,0회,0회,현대자동차㈜,생산관리
영남대학교,기계/자동차/조선공학,3.77 / 4.5,610,없음,없음,1개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
경북대학교,기계/자동차/조선공학,4.07 / 4.5,755,없음,IM,1개,0회,0회,0회,0회,현대자동차㈜,자동차·조선설계
국민대학교,기계/자동차/조선공학,3.6 / 4.5,850,L5,IM,2개,0회,0회,0회,1회,현대자동차㈜,연구·실험·기술
조선대학교,기계/자동차/조선공학,3.84 / 4.5,740,L4,없음,2개,0회,0회,0회,0회,현대삼호중공업㈜,QAA·통화품질
부산대학교(밀양),기계/자동차/조선공학,3.91 / 4.5,780,없음,없음,0개,0회,0회,0회,0회,현대건설㈜,생산관리
인하대학교,기계/자동차/조선공학,3.61 / 4.5,680,없음,IL,0개,0회,1회,0회,0회,한온시스템㈜,품질관리
동아대학교,기계/자동차/조선공학,3.21 / 4.5,850,L6,IM,2개,0회,0회,1회,0회,한국NSK㈜,기술영업(IT)
영남대학교,기계/자동차/조선공학,3.9 / 4.5,755,없음,IL,0개,0회,0회,0회,0회,㈜포스코건설,건축시공
고려대학교(세종),기계/자동차/조선공학,3.67 / 4.5,885,없음,IM,0개,0회,0회,0회,0회,㈜포스코,기계
창원대학교,기계/자동차/조선공학,3.3 / 4.5,없음,없음,IM,1개,2회,0회,0회,2회,삼성정밀화학㈜,기계
금오공과대학교,기계/자동차/조선공학,3.7 / 4.5,없음,없음,없음,0개,0회,0회,0회,0회,㈜효성,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.59 / 4.5,790,L5,없음,0개,0회,0회,0회,0회,현대삼호중공업㈜,자동차·조선설계
충북대학교,기계/자동차/조선공학,4.01 / 4.5,605,없음,없음,0개,0회,0회,0회,1회,LG전자㈜,연구·실험·기술
충남대학교,기계/자동차/조선공학,3.48 / 4.5,805,L5,없음,0개,0회,0회,0회,0회,㈜효성,기계·기구설계
인하대학교,기계/자동차/조선공학,3.54 / 4.5,770,없음,IM,3개,0회,0회,2회,0회,STX중공업㈜,플랜트
인하대학교,기계/자동차/조선공학,3.83 / 4.5,760,없음,IL,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
금오공과대학교,기계/자동차/조선공학,4.09 / 4.5,없음,없음,IM,1개,0회,0회,1회,3회,두산중공업㈜,기계·기구설계
부산대학교(밀양),기계/자동차/조선공학,3.21 / 4.5,660,없음,IL,5개,0회,1회,0회,1회,SK이노베이션㈜,기계설비
충남대학교,기계/자동차/조선공학,3.4 / 4.5,600,L5,없음,0개,0회,0회,1회,1회,두산인프라코어㈜,기계
서강대학교,기계/자동차/조선공학,3.27 / 4.5,780,L6,없음,2개,0회,0회,0회,2회,대림그룹,플랜트
인하대학교,기계/자동차/조선공학,3.48 / 4.5,735,L6,IM,2개,0회,1회,0회,0회,㈜LG화학,생산관리
한국해양대학교,기계/자동차/조선공학,3.86 / 4.5,805,L5,없음,0개,0회,0회,0회,0회,두산인프라코어㈜,연구·실험·기술
한국항공대학교,기계/자동차/조선공학,3.28 / 4.5,675,L5,없음,0개,0회,0회,0회,0회,두산중공업㈜,플랜트
홍익대학교(서울),기계/자동차/조선공학,3.45 / 4.5,700,없음,IL,3개,0회,0회,0회,0회,STX엔진㈜,구매관리
인하대학교,기계/자동차/조선공학,3.54 / 4.5,770,없음,IM,3개,0회,0회,2회,0회,현대건설㈜,플랜트
국민대학교,기계/자동차/조선공학,3.1 / 4.5,없음,없음,없음,0개,0회,0회,2회,3회,두산중공업㈜,플랜트
건국대학교(서울),기계/자동차/조선공학,3.26 / 4.5,835,L6,없음,1개,0회,0회,2회,0회,㈜효성,건축설비
한국기술교육대학교,기계/자동차/조선공학,4.28 / 4.5,810,없음,IM,1개,0회,0회,5회,2회,두산인프라코어㈜,생산관리
충남대학교,기계/자동차/조선공학,3.49 / 4.5,790,L5,없음,1개,0회,0회,0회,2회,현대모비스㈜,생산관리
충남대학교,기계/자동차/조선공학,3.4 / 4.5,830,L6,IM,0개,0회,0회,0회,0회,삼성엔지니어링㈜,구매관리
충남대학교,기계/자동차/조선공학,3.4 / 4.5,830,L6,IM,0개,0회,0회,0회,0회,현대모비스㈜,기계
동의대학교,기계/자동차/조선공학,4.08 / 4.5,740,없음,IM,4개,0회,0회,0회,1회,에이치에스디엔진,기술영업(IT)
경상대학교,기계/자동차/조선공학,3.48 / 4.5,745,L4,IL,1개,0회,0회,0회,0회,한화에어로스페이스,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.5 / 4.5,850,L5,없음,2개,0회,0회,0회,2회,삼성중공업㈜,기계·기구설계
중앙대학교(서울),기계/자동차/조선공학,3.36 / 4.5,825,없음,IL,2개,0회,0회,0회,0회,삼성엔지니어링㈜,플랜트
홍익대학교(서울),기계/자동차/조선공학,3.56 / 4.5,815,없음,없음,0개,0회,0회,0회,0회,코오롱글로벌㈜,기계
한양대학교(서울),기계/자동차/조선공학,3.3 / 4.5,900,L6,IM,1개,0회,0회,0회,0회,㈜포스코엔지니어링,플랜트
금오공과대학교,기계/자동차/조선공학,3.78 / 4.5,없음,없음,IM,3개,0회,0회,0회,1회,웅진에너지㈜,생산관리
단국대학교(경기),기계/자동차/조선공학,3.59 / 4.5,850,없음,IL,1개,0회,0회,0회,0회,동부건설㈜,플랜트
영남대학교,기계/자동차/조선공학,4.12 / 4.5,855,L6,IH,0개,3회,0회,2회,2회,한화케미칼,생산관리
한동대학교,기계/자동차/조선공학,3.65 / 4.5,885,L6,없음,2개,0회,0회,0회,0회,현대모비스㈜,연구·실험·기술
충남대학교,기계/자동차/조선공학,3.68 / 4.5,635,없음,IL,2개,0회,1회,1회,2회,롯데건설(주),플랜트
서울시립대학교,기계/자동차/조선공학,3.2 / 4.5,670,없음,IM,0개,0회,0회,0회,0회,쌍용건설㈜,현장관리
부산대학교(밀양),기계/자동차/조선공학,3.56 / 4.5,700,L5,없음,0개,0회,0회,1회,2회,㈜한화/기계,연구·실험·기술
고려대학교(세종),기계/자동차/조선공학,3.5 / 4.5,835,L6,IM,1개,0회,0회,0회,1회,삼성엔지니어링㈜,건축설계
중앙대학교(서울),기계/자동차/조선공학,3.26 / 4.5,690,L6,없음,1개,0회,0회,1회,1회,GS건설,플랜트
경남대학교,기계/자동차/조선공학,3.5 / 4.5,750,없음,IH,0개,0회,0회,0회,0회,㈜농심,마케팅전략·기획
경희대학교(서울),기계/자동차/조선공학,3.9 / 4.5,775,없음,IL,0개,0회,0회,0회,0회,삼성전자㈜,연구·실험·기술
충북대학교,기계/자동차/조선공학,3.74 / 4.5,없음,L5,없음,1개,0회,0회,0회,0회,두산중공업㈜,품질관리
중앙대학교(서울),기계/자동차/조선공학,3.02 / 4.5,없음,없음,IL,1개,0회,0회,0회,1회,두산중공업㈜,플랜트
한국기술교육대학교,기계/자동차/조선공학,4.2 / 4.5,895,L6,없음,5개,2회,0회,2회,2회,삼성엔지니어링㈜,플랜트
단국대학교(경기),기계/자동차/조선공학,3.69 / 4.5,700,없음,IL,1개,0회,0회,0회,3회,두산인프라코어㈜,연구·실험·기술
한국항공대학교,기계/자동차/조선공학,3.54 / 4.5,880,없음,IM,0개,1회,0회,0회,3회,현대건설㈜,플랜트
한국해양대학교,기계/자동차/조선공학,3.74 / 4.5,785,없음,IL,2개,0회,0회,0회,1회,㈜디섹,품질관리
아주대학교,기계/자동차/조선공학,3.79 / 4.5,700,없음,없음,0개,0회,1회,0회,0회,롯데건설(주),플랜트
울산대학교,기계/자동차/조선공학,3.74 / 4.5,650,없음,IL,1개,0회,0회,0회,0회,STX조선해양㈜,자동차·조선설계
경희대학교(서울),기계/자동차/조선공학,3.96 / 4.5,없음,없음,IM,1개,1회,1회,0회,0회,LG디스플레이㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.48 / 4.5,780,없음,IL,1개,0회,0회,0회,1회,삼성중공업㈜,자동차·조선설계
울산대학교,기계/자동차/조선공학,4.1 / 4.5,820,L7,없음,3개,0회,0회,0회,0회,㈜포스코,생산관리
전북대학교,기계/자동차/조선공학,4.01 / 4.5,745,L6,없음,0개,1회,1회,2회,1회,삼성물산(주),플랜트
성균관대학교(자연과학),기계/자동차/조선공학,3.51 / 4.5,915,L6,없음,0개,0회,2회,1회,2회,존슨앤드존슨,영업지원
충남대학교,기계/자동차/조선공학,3.68 / 4.5,635,없음,IL,2개,0회,1회,1회,2회,㈜에스에프에이,생산관리
서울과학기술대학교,기계/자동차/조선공학,3.3 / 4.5,820,L5,IL,4개,0회,0회,0회,0회,현대종합상사㈜,일반영업
서울과학기술대학교,기계/자동차/조선공학,3.66 / 4.5,805,L5,없음,0개,0회,1회,1회,0회,대원강업㈜,연구·실험·기술
성균관대학교(자연과학),기계/자동차/조선공학,3.78 / 4.5,745,없음,IL,0개,0회,0회,0회,0회,LG전자㈜,기계
영남대학교,기계/자동차/조선공학,3.8 / 4.5,715,L5,없음,1개,0회,0회,0회,0회,삼성전자㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,4.07 / 4.5,705,L6,없음,2개,0회,1회,1회,0회,현대자동차㈜,생산관리
성균관대학교(자연과학),기계/자동차/조선공학,3.06 / 4.5,785,없음,IM,3개,0회,0회,0회,0회,GS건설,플랜트
한양대학교(서울),기계/자동차/조선공학,3.58 / 4.5,640,L5,없음,1개,0회,0회,0회,1회,㈜한화건설,연구·실험·기술
고려대학교(세종),기계/자동차/조선공학,3.5 / 4.5,835,L6,IM,1개,0회,0회,0회,1회,㈜포스코,생산관리
한양대학교(서울),기계/자동차/조선공학,3.93 / 4.5,885,L6,없음,0개,0회,0회,0회,0회,대림그룹,플랜트
경북대학교,기계/자동차/조선공학,4.04 / 4.5,735,L6,NH,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.79 / 4.5,705,없음,IM,2개,1회,1회,0회,0회,삼성전자㈜,생산관리
한양대학교(서울),기계/자동차/조선공학,3.54 / 4.5,890,L6,없음,2개,0회,1회,2회,0회,현대삼호중공업㈜,자동차·조선설계
동아대학교,기계/자동차/조선공학,4.13 / 4.5,895,없음,IH,3개,0회,0회,2회,0회,㈜포스코건설,기계
부경대학교,기계/자동차/조선공학,3.7 / 4.5,850,L6,NH,1개,0회,0회,0회,0회,㈜대한항공,생산관리
한양대학교(서울),기계/자동차/조선공학,3.34 / 4.5,905,L6,없음,0개,0회,0회,0회,0회,삼성엔지니어링㈜,견적·시세
한국항공대학교,기계/자동차/조선공학,3.99 / 4.5,830,L6,IM,2개,0회,0회,1회,0회,대우조선해양㈜,품질관리
성균관대학교(자연과학),기계/자동차/조선공학,3.52 / 4.5,895,없음,IM,0개,0회,0회,0회,0회,㈜대우건설,플랜트
서울시립대학교,기계/자동차/조선공학,3.4 / 4.5,780,L6,NH,1개,0회,0회,0회,0회,엘에스엠트론 기술교육아카데미,원가관리
한양대학교(서울),기계/자동차/조선공학,3.8 / 4.5,785,L5,없음,1개,0회,0회,0회,1회,STX중공업㈜,자동차·조선설계
부산대학교(밀양),기계/자동차/조선공학,3.03 / 4.5,없음,L4,IL,1개,0회,0회,0회,0회,STX조선해양㈜,자동차·조선설계
인천대학교,기계/자동차/조선공학,3.97 / 4.5,856,없음,IL,0개,0회,0회,0회,0회,STX조선해양㈜,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.85 / 4.5,810,L7,NH,1개,1회,0회,3회,0회,STX조선해양㈜,자동차·조선설계
한국해양대학교,기계/자동차/조선공학,3.74 / 4.5,785,없음,IL,1개,0회,0회,0회,0회,STX조선해양㈜,생산관리
세종대학교,기계/자동차/조선공학,3.8 / 4.5,760,없음,IM,0개,0회,0회,0회,0회,STX조선해양㈜,플랜트
명지대학교(인문),기계/자동차/조선공학,3.61 / 4.5,870,없음,IL,0개,0회,0회,0회,0회,STX조선해양㈜,생산관리
경남대학교,기계/자동차/조선공학,3.93 / 4.5,890,L7,NH,2개,0회,0회,0회,0회,STX조선해양㈜,플랜트
동아대학교,기계/자동차/조선공학,4.09 / 4.5,740,L5,IL,0개,0회,0회,0회,0회,STX조선해양㈜,플랜트
충북대학교,기계/자동차/조선공학,3.77 / 4.5,795,L6,IM,1개,0회,0회,0회,0회,S-OIL(주),기술직
인하대학교,기계/자동차/조선공학,4.0 / 4.5,900,L5,NH,1개,0회,0회,0회,0회,S-OIL(주),생산관리
한성대학교,기계/자동차/조선공학,3.7 / 4.5,810,L5,IM,1개,0회,1회,2회,1회,SK이노베이션㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,4.08 / 4.5,755,L6,IL,0개,0회,0회,0회,0회,SK건설㈜,플랜트
인하대학교,기계/자동차/조선공학,4.0 / 4.5,900,L5,NH,1개,0회,0회,0회,0회,SK건설㈜,플랜트
홍익대학교(서울),기계/자동차/조선공학,3.52 / 4.5,655,L6,NH,0개,0회,0회,0회,0회,SK건설㈜,플랜트
경북대학교,기계/자동차/조선공학,3.8 / 4.5,715,없음,NH,1개,0회,0회,0회,0회,SK건설㈜,플랜트
한양대학교(서울),기계/자동차/조선공학,3.96 / 4.5,750,없음,NH,8개,0회,0회,0회,0회,NAVER,-
경북대학교,기계/자동차/조선공학,3.8 / 4.5,830,L5,없음,0개,1회,0회,0회,0회,LIG넥스원㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.71 / 4.5,715,L5,IL,1개,0회,0회,0회,0회,㈜LG화학,연구·실험·기술
한동대학교,기계/자동차/조선공학,3.8 / 4.5,830,L6,IL,3개,0회,0회,0회,0회,㈜LG화학,품질관리
인하대학교,기계/자동차/조선공학,3.01 / 4.5,685,없음,IL,0개,0회,0회,0회,0회,LG전자㈜,기계·기구설계
인하대학교,기계/자동차/조선공학,3.51 / 4.5,795,L6,없음,0개,0회,0회,1회,0회,LG전자㈜,기계·기구설계
경북대학교,기계/자동차/조선공학,4.04 / 4.5,735,L6,NH,0개,0회,0회,0회,0회,LG전자㈜,기계·기구설계
부경대학교,기계/자동차/조선공학,3.69 / 4.5,700,L7,IL,0개,0회,0회,0회,0회,LG전자㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.5 / 4.5,635,없음,NH,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.53 / 4.5,730,L5,IM,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.6 / 4.5,605,L6,IL,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한동대학교,기계/자동차/조선공학,3.72 / 4.5,770,없음,NH,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
전남대학교(광주),기계/자동차/조선공학,3.9 / 4.5,825,L5,NH,1개,0회,0회,0회,0회,LG이노텍㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.03 / 4.5,없음,L5,IL,1개,0회,0회,0회,0회,LG디스플레이㈜,공정관리
경희대학교(서울),기계/자동차/조선공학,3.95 / 4.5,830,L6,NH,0개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.87 / 4.5,680,없음,IM,0개,0회,0회,0회,1회,LG CNS,Embedded
인하대학교,기계/자동차/조선공학,3.78 / 4.5,925,L7,NH,1개,0회,0회,0회,0회,LG CNS,현미경·SEM·TEM
충남대학교,기계/자동차/조선공학,3.68 / 4.5,635,없음,IL,2개,0회,1회,1회,2회,㈜KT,정보통신·IT
홍익대학교(서울),기계/자동차/조선공학,3.36 / 4.5,720,없음,IL,0개,1회,1회,0회,0회,㈜KCC,기계
전북대학교,기계/자동차/조선공학,3.98 / 4.5,775,없음,IL,2개,0회,0회,0회,0회,GS칼텍스㈜,생산관리
경희대학교(서울),기계/자동차/조선공학,3.9 / 4.5,880,없음,NH,1개,0회,0회,0회,0회,㈜GS리테일,유통관리
서울대학교,기계/자동차/조선공학,4.1 / 4.5,860,없음,IH,0개,0회,0회,0회,0회,GS건설,플랜트
울산대학교,기계/자동차/조선공학,3.94 / 4.5,900,없음,NH,0개,0회,0회,0회,0회,GS건설,플랜트
전북대학교,기계/자동차/조선공학,4.26 / 4.5,825,L6,NH,0개,0회,0회,0회,0회,GS건설,플랜트
부산대학교(밀양),기계/자동차/조선공학,3.24 / 4.5,740,없음,IL,3개,0회,0회,0회,0회,한국GM㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.32 / 4.5,785,L5,NH,0개,0회,0회,0회,0회,씨제이모닝웰(주),생산관리
건국대학교(서울),기계/자동차/조선공학,3.96 / 4.5,855,없음,IM,1개,0회,0회,1회,0회,㈜효성,기계·기구설계
경북대학교,기계/자동차/조선공학,3.57 / 4.5,690,L5,IL,0개,0회,0회,0회,0회,㈜효성,생산관리
중앙대학교(서울),기계/자동차/조선공학,3.33 / 4.5,770,없음,NH,0개,0회,0회,0회,0회,㈜효성,조직관리
경희대학교(서울),기계/자동차/조선공학,3.65 / 4.5,820,없음,NH,0개,0회,0회,0회,0회,㈜효성,생산관리
명지대학교(인문),기계/자동차/조선공학,3.61 / 4.5,870,없음,IL,0개,0회,0회,0회,0회,㈜효성,생산관리
한동대학교,기계/자동차/조선공학,4.06 / 4.5,730,L7,NH,1개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한동대학교,기계/자동차/조선공학,3.86 / 4.5,840,없음,NH,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.84 / 4.5,750,L8,NH,0개,0회,0회,0회,0회,LG이노텍㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.81 / 4.5,840,없음,IL,1개,0회,0회,0회,0회,LG이노텍㈜,생산관리
충남대학교,기계/자동차/조선공학,3.36 / 4.5,760,L7,IL,0개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
중앙대학교(서울),기계/자동차/조선공학,3.25 / 4.5,820,L6,NH,0개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.74 / 4.5,805,L5,NH,1개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.57 / 4.5,780,L5,NH,0개,0회,0회,0회,0회,LG디스플레이㈜,생산관리
인하대학교,기계/자동차/조선공학,3.25 / 4.5,750,L5,없음,3개,0회,0회,0회,0회,LG디스플레이㈜,공정관리
명지대학교(인문),기계/자동차/조선공학,3.8 / 4.5,705,L5,NH,1개,0회,0회,0회,0회,㈜GS리테일,일반영업
숭실대학교,기계/자동차/조선공학,3.21 / 4.5,705,L4,NH,0개,0회,0회,0회,0회,㈜GS리테일,영업관리
금오공과대학교,기계/자동차/조선공학,3.99 / 4.5,900,L7,IM,0개,0회,0회,0회,0회,GS건설,플랜트
세종대학교,기계/자동차/조선공학,3.7 / 4.5,760,L6,NH,0개,0회,0회,0회,0회,GS건설,기계·기구설계
국민대학교,기계/자동차/조선공학,4.07 / 4.5,940,L6,IL,1개,0회,0회,0회,0회,GS건설,플랜트
경북대학교,기계/자동차/조선공학,3.8 / 4.5,785,L5,없음,1개,0회,0회,0회,1회,㈜효성,생산관리
인하대학교,기계/자동차/조선공학,3.7 / 4.5,875,L6,IL,1개,0회,1회,2회,0회,㈜효성,기계·기구설계
부산대학교(밀양),기계/자동차/조선공학,3.94 / 4.5,855,없음,NH,0개,0회,0회,0회,0회,㈜효성,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.71 / 4.5,730,L6,NH,1개,0회,0회,0회,0회,㈜효성,기계·기구설계
부산대학교(밀양),기계/자동차/조선공학,3.5 / 4.5,635,없음,NH,0개,0회,0회,0회,0회,㈜효성,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.78 / 4.5,875,없음,NH,2개,0회,0회,0회,0회,㈜효성,연구·실험·기술
단국대학교(경기),기계/자동차/조선공학,3.5 / 4.5,765,L5,없음,1개,0회,0회,0회,1회,㈜화신,기계설비
한양대학교(서울),기계/자동차/조선공학,3.47 / 4.5,830,없음,IL,1개,0회,0회,0회,1회,현대중공업㈜,연구·실험·기술
국민대학교,기계/자동차/조선공학,3.78 / 4.5,725,없음,IL,3개,0회,0회,0회,1회,현대중공업㈜,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.68 / 4.5,660,없음,NH,0개,0회,0회,0회,0회,현대중공업㈜,자동차·조선설계
한국해양대학교,기계/자동차/조선공학,3.5 / 4.5,815,없음,IL,0개,0회,0회,0회,0회,현대중공업㈜,품질관리
부경대학교,기계/자동차/조선공학,3.34 / 4.5,830,L6,IL,2개,0회,0회,0회,0회,현대중공업㈜,자동차·조선설계
한동대학교,기계/자동차/조선공학,4.1 / 4.5,755,없음,NH,3개,0회,0회,0회,0회,현대중공업㈜,플랜트
울산대학교,기계/자동차/조선공학,4.0 / 4.5,775,L7,IL,1개,0회,0회,0회,0회,현대중공업㈜,기계
부산대학교(밀양),기계/자동차/조선공학,3.58 / 4.5,없음,없음,IM,1개,0회,0회,0회,0회,현대종합금속㈜,공정관리
한양대학교(서울),기계/자동차/조선공학,3.18 / 4.5,725,없음,IM,3개,0회,0회,0회,0회,현대제철㈜,생산관리
영남대학교,기계/자동차/조선공학,3.8 / 4.5,820,L6,IM,0개,0회,0회,2회,0회,현대자동차㈜,생산관리
한국기술교육대학교,기계/자동차/조선공학,3.97 / 4.5,없음,없음,IL,2개,0회,0회,1회,1회,현대자동차㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.32 / 4.5,785,L5,NH,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
홍익대학교(서울),기계/자동차/조선공학,3.68 / 4.5,830,L7,NH,1개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
건국대학교(서울),기계/자동차/조선공학,3.36 / 4.5,820,L6,IL,1개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
한동대학교,기계/자동차/조선공학,3.23 / 4.5,715,L5,IL,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
숭실대학교,기계/자동차/조선공학,3.64 / 4.5,840,L6,없음,3개,0회,2회,0회,0회,현대자동차㈜,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.98 / 4.5,720,없음,IM,2개,2회,0회,2회,0회,현대자동차㈜,생산관리
성균관대학교(자연과학),기계/자동차/조선공학,3.57 / 4.5,830,L6,없음,2개,0회,0회,0회,0회,현대엔지니어링㈜,건축설계
전남대학교(광주),기계/자동차/조선공학,3.9 / 4.5,825,L5,NH,1개,0회,0회,0회,0회,현대엔지니어링㈜,기계
성균관대학교(자연과학),기계/자동차/조선공학,3.59 / 4.5,795,없음,IM,2개,0회,0회,2회,1회,현대엔지니어링㈜,플랜트
한국항공대학교,기계/자동차/조선공학,3.23 / 4.5,855,L7,없음,0개,0회,0회,1회,2회,현대건설㈜,플랜트
